Project Type,Project Phase Name,borough,log_orcamento,duracao_plan,ano_inicio,esc_eletrica,esc_hvac,esc_estrutural,esc_seguranca,esc_acessibilidade,fator_custo,atraso_dias,alto_risco,DSF Number(s)
SCA CIP,"CM,F&E",Brooklyn,5.227938097369417,269,2019,0,0,0,0,0,0.46423500177493787,188,1,DSF0000868414
SCA CIP,Construction,Brooklyn,5.862900258572467,269,2019,0,0,0,0,0,0.9139862057617683,188,1,DSF0000868414
SCA CIP,Design,Brooklyn,4.837967018368655,154,2018,0,0,0,0,0,0.8844467034562882,84,0,DSF0000868414
SCA CIP,Scope,Brooklyn,4.273695587930092,91,2018,0,0,0,0,0,0.6791799787007454,-37,0,DSF0000868414
SCA CIP RESOA,Design,Brooklyn,4.454158589944344,153,2019,0,0,0,0,0,1.7330521876647338,-124,1,DSF0000890739
SCA CIP,Design,Brooklyn,5.753732393751208,141,2019,1,1,0,0,0,0.6777245920715098,355,1,"DSF0000891044, DSF0000891163, DSF0000891142, DSF0000891143"
SCA CIP,Design,Brooklyn,4.927785977971815,152,2019,0,0,1,0,0,1.9165692422149005,344,1,"DSF0000868429, DSF0000868430, DSF0000868432"
SCA CIP,Design,Brooklyn,4.104179718720652,180,2020,0,0,0,0,0,0.7819998426559672,-15,0,DSF0000960733
SCA CIP,Scope,Brooklyn,5.054762389415189,122,2018,1,1,0,0,0,1.1008118900907096,5,1,"DSF0000891044, DSF0000891163, DSF0000891142, DSF0000891143"
SCA CIP,Scope,Brooklyn,4.274573464196471,141,2018,0,0,1,0,0,5.085450100967159,-14,1,"DSF0000868429, DSF0000868430, DSF0000868432"
SCA CIP,Scope,Brooklyn,4.957784416268065,154,2020,0,1,0,0,0,0.5220472354166437,-71,0,"DSF0000936438, DSF0000961025"
SCA CIP,Scope,Brooklyn,4.118165485243124,91,2019,0,0,0,0,0,3.765673802087301,-10,1,DSF0000912614
SCA CIP RESOA,Design,Brooklyn,4.3222192947339195,150,2019,0,0,0,0,0,1.7274285714285715,24,1,DSF0000867254
SCA CIP,Scope,Brooklyn,5.271644155075083,181,2020,0,0,1,0,0,1.1996147981702914,-53,1,"DSF0000936536, DSF0000936532, DSF0000936534, DSF0000936535, DSF0000936537"
SCA CIP,Design,Brooklyn,5.6648496728110675,152,2019,0,0,1,0,0,0.7630354311033034,-49,0,"DSF0000868551, DSF0000868553, DSF0000868554, DSF0000868555"
SCA CIP,Design,Brooklyn,4.312875222239046,156,2019,1,0,0,0,0,0.2462900793071571,-1,0,"DSF0000912670, DSF0000912951"
SCA CIP,Scope,Brooklyn,5.065829838133072,142,2018,0,0,1,0,0,1.1087249821684841,-28,1,"DSF0000868551, DSF0000868553, DSF0000868554, DSF0000868555"
SCA CIP,"CM,F&E",Brooklyn,5.819642627618626,539,2017,0,1,0,0,0,2.2948026963568884,538,1,"DSF0000801384, DSF0000798243, DSF0000778032"
SCA CIP,Construction,Brooklyn,6.9667676046121,539,2017,0,1,0,0,0,0.9949717920318157,538,1,"DSF0000801384, DSF0000798243, DSF0000778032"
SCA CIP,Design,Brooklyn,4.6086436836327325,155,2019,1,0,0,0,0,0.32998448696166066,-8,0,"DSF0000912041, DSF0000912801"
SCA CIP,Design,Brooklyn,5.711254522370365,152,2016,0,1,0,0,0,1.0715142559954893,-41,0,"DSF0000801384, DSF0000798243, DSF0000778032"
SCA CIP,Scope,Brooklyn,5.112759121917356,154,2015,0,1,0,0,0,1.2919565586288817,-76,1,"DSF0000801384, DSF0000798243, DSF0000778032"
SCA CIP,Design,Brooklyn,5.574214211931888,152,2014,1,0,0,0,0,1.622721626621317,170,1,"DSF0000755637, DSF0000778097"
SCA CIP,Scope,Brooklyn,4.979835078290998,123,2013,1,0,0,0,0,0.6023799796779904,18,0,"DSF0000755637, DSF0000778097"
SCA CIP,Scope,Brooklyn,5.237807552215578,210,2017,0,0,0,0,0,0.7571498799919031,47,0,DSF0000865947
SCA CIP,Design,Brooklyn,5.639077900939867,151,2020,0,1,0,0,0,0.38831699533965425,-72,0,"DSF0000798392, DSF0000936743"
SCA CIP,Scope,Brooklyn,4.940107896603848,152,2020,0,1,0,0,0,0.5843912853830436,-62,0,"DSF0000798392, DSF0000936743"
SCA CIP,Design,Brooklyn,5.207742052606945,183,2018,0,1,0,0,0,1.1007065823726292,118,1,DSF0000868772
SCA CIP,Design,Brooklyn,5.358831082571039,155,2019,0,0,1,0,0,0.7549054365761957,34,0,"DSF0000891499, DSF0000936767"
SCA CIP,Scope,Brooklyn,4.659859177357306,139,2019,0,0,1,0,0,0.8865715411213726,20,0,"DSF0000891499, DSF0000936767"
SCA CIP,Scope,Brooklyn,4.605682061278983,123,2018,0,1,0,0,0,0.7328126936903434,-56,0,DSF0000868772
SCA CIP,Design,Brooklyn,5.048465110321171,152,2019,0,0,1,0,0,0.6653041876106828,310,1,"DSF0000868795, DSF0000891548"
SCA CIP,Scope,Brooklyn,4.395239001081552,141,2018,0,0,1,0,0,0.9652646407727913,-43,0,"DSF0000868795, DSF0000891548"
SCA CIP RESOA,"CM,F&E",Brooklyn,4.477121254719663,299,2019,0,0,0,0,0,1.2450333333333334,0,1,DSF0000867346
SCA CIP RESOA,Construction,Brooklyn,5.643452676486188,299,2019,0,0,0,0,0,0.8555454545454545,0,0,DSF0000867346
SCA CIP RESOA,Design,Brooklyn,4.477121254719663,140,2018,0,0,0,0,0,1.3697,22,1,DSF0000867346
SCA CIP,Design,Brooklyn,5.011502778036918,139,2018,0,0,0,0,0,0.8419520081025281,373,1,DSF0000889320
SCA CIP,Scope,Brooklyn,4.409442786708955,90,2018,0,0,0,0,0,2.2697596509680182,76,1,DSF0000889320
SCA CIP,Design,Brooklyn,4.8818067615841425,67,2019,0,0,0,0,1,0.5434268910651928,108,1,"DSF0000868850, DSF0000912554"
SCA CIP,Design,Brooklyn,4.8159162863514675,182,2019,0,0,0,0,0,0.6169653634016287,19,0,DSF0000888997
SCA CIP,Scope,Brooklyn,4.2286056503550915,173,2019,0,0,0,0,1,0.9148156899810964,43,0,"DSF0000868850, DSF0000912554"
SCA CIP,Scope,Brooklyn,4.162713725583078,182,2018,0,0,0,0,0,1.1006531454107942,146,1,DSF0000888997
SCA CIP RESOA,"CM,F&E",Brooklyn,5.020270104388187,239,2019,0,0,0,0,0,1.2814903892038405,168,1,DSF0000890803
SCA CIP RESOA,Construction,Brooklyn,5.782378731877019,239,2019,0,0,0,0,0,0.862179778136858,168,1,DSF0000890803
SCA CIP RESOA,Design,Brooklyn,4.616044681789984,135,2019,0,0,0,0,0,1.5278752814156722,-31,1,DSF0000890803
SCA Capacity,OUTROS,Brooklyn,7.070381765564609,1459,2017,0,0,0,0,0,0.5040349313071824,-326,0,DSF0000798185
SCA Capacity,Construction,Brooklyn,7.9217175355303295,1459,2017,0,0,0,0,0,0.9293978040277168,-326,0,DSF0000798185
SCA Capacity,Design,Brooklyn,6.77481466560213,225,2015,0,0,0,0,0,0.7472311423427297,343,1,DSF0000798185
SCA Capacity,Scope,Brooklyn,6.269664687282225,167,2015,0,0,0,0,0,0.7829027490393142,1,0,DSF0000798185
SCA CIP,Design,Brooklyn,5.659307571459207,154,2018,0,1,0,0,0,0.6788062056271364,-13,0,"DSF0000890591, DSF0000868912"
SCA CIP,Design,Brooklyn,4.850646235183066,138,2019,0,0,0,0,0,0.7354019746121297,148,1,DSF0000889321
SCA CIP,Scope,Brooklyn,4.197445972137104,91,2018,0,0,0,0,0,2.4565244986037067,4,1,DSF0000889321
SCA CIP,Scope,Brooklyn,5.057247580131245,159,2018,0,1,0,0,0,0.5637216232798667,-99,0,"DSF0000890591, DSF0000868912"
SCA CIP,"CM,F&E",Brooklyn,5.793537554515335,539,2017,0,0,0,0,1,1.97692708618199,423,1,DSF0000822095
