Project Geographic District,Project Building Identifier,Project School Name,Project Type,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s),orcamento_base,custo_final,gasto_real,dt_inicio,dt_plan_fim,dt_real_fim,fator_custo,atraso_dias,duracao_plan,ano_inicio,alto_risco,distrito,borough,log_orcamento,esc_eletrica,esc_hvac,esc_estrutural,esc_seguranca,esc_acessibilidade
15,K001,P.S. 1 - BROOKLYN,SCA CIP,PUBLIC ADDRESS/CLOCK SYSTEM,"CM,F&E",Complete,6/19/2019,3/14/2020,9/18/2020,169020,78465,77101,DSF0000868414,169020.0,78465.0,77101.0,2019-06-19,2020-03-14,2020-09-18,0.46423500177493787,188,269,2019,1,15,Brooklyn,5.227938097369417,0,0,0,0,0
15,K001,P.S. 1 - BROOKLYN,SCA CIP,PUBLIC ADDRESS/CLOCK SYSTEM,Construction,Complete,6/19/2019,3/14/2020,9/18/2020,729290,666561,532299,DSF0000868414,729290.0,666561.0,532299.0,2019-06-19,2020-03-14,2020-09-18,0.9139862057617683,188,269,2019,1,15,Brooklyn,5.862900258572467,0,0,0,0,0
15,K001,P.S. 1 - BROOKLYN,SCA CIP,PUBLIC ADDRESS/CLOCK SYSTEM,Design,Complete,7/23/2018,12/24/2018,3/18/2019,68860,60903,22230,DSF0000868414,68860.0,60903.0,22230.0,2018-07-23,2018-12-24,2019-03-18,0.8844467034562882,84,154,2018,0,15,Brooklyn,4.837967018368655,0,0,0,0,0
15,K001,P.S. 1 - BROOKLYN,SCA CIP,PUBLIC ADDRESS/CLOCK SYSTEM,Scope,Complete,5/3/2018,8/2/2018,6/26/2018,18780,12755,12755,DSF0000868414,18780.0,12755.0,12755.0,2018-05-03,2018-08-02,2018-06-26,0.6791799787007454,-37,91,2018,0,15,Brooklyn,4.273695587930092,0,0,0,0,0
15,K001,P.S. 1 - BROOKLYN,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Design,Complete,4/17/2019,9/17/2019,5/16/2019,28455,49314,21696,DSF0000890739,28455.0,49314.0,21696.0,2019-04-17,2019-09-17,2019-05-16,1.7330521876647338,-124,153,2019,1,15,Brooklyn,4.454158589944344,0,0,0,0,0
17,K002,I.S. 2 - BROOKLYN,SCA CIP,CONDENSING UNITS DX COILS REPLACEMENT / VENTILATION / CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL SYSTEM,Design,Complete,2/20/2019,7/11/2019,6/30/2020,567195,384402,365868,"DSF0000891044, DSF0000891163, DSF0000891142, DSF0000891143",567195.0,384402.0,365868.0,2019-02-20,2019-07-11,2020-06-30,0.6777245920715098,355,141,2019,1,17,Brooklyn,5.753732393751208,1,1,0,0,0
17,K002,I.S. 2 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,2/20/2019,7/22/2019,6/30/2020,84681,162297,16074,"DSF0000868429, DSF0000868430, DSF0000868432",84681.0,162297.0,16074.0,2019-02-20,2019-07-22,2020-06-30,1.9165692422149005,344,152,2019,1,17,Brooklyn,4.927785977971815,0,0,1,0,0
17,K002,I.S. 2 - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,6/19/2020,12/16/2020,12/1/2020,12711,9940,9940,DSF0000960733,12711.0,9940.0,9940.0,2020-06-19,2020-12-16,2020-12-01,0.7819998426559672,-15,180,2020,0,17,Brooklyn,4.104179718720652,0,0,0,0,0
17,K002,I.S. 2 - BROOKLYN,SCA CIP,CONDENSING UNITS DX COILS REPLACEMENT / VENTILATION / CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,10/16/2018,2/15/2019,2/20/2019,113439,124875,124875,"DSF0000891044, DSF0000891163, DSF0000891142, DSF0000891143",113439.0,124875.0,124875.0,2018-10-16,2019-02-15,2019-02-20,1.1008118900907096,5,122,2018,1,17,Brooklyn,5.054762389415189,1,1,0,0,0
17,K002,I.S. 2 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,10/16/2018,3/6/2019,2/20/2019,18818,95698,4517,"DSF0000868429, DSF0000868430, DSF0000868432",18818.0,95698.0,4517.0,2018-10-16,2019-03-06,2019-02-20,5.085450100967159,-14,141,2018,1,17,Brooklyn,4.274573464196471,0,0,1,0,0
16,K005,P.S. 5 - BROOKLYN,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Scope,Complete,9/17/2020,2/18/2021,12/9/2020,90737,47369,40754,"DSF0000936438, DSF0000961025",90737.0,47369.0,40754.0,2020-09-17,2021-02-18,2020-12-09,0.5220472354166437,-71,154,2020,0,16,Brooklyn,4.957784416268065,0,1,0,0,0
19,K007,P.S. 7 - BROOKLYN,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Scope,Complete,6/24/2019,9/23/2019,9/13/2019,13127,49432,49282,DSF0000912614,13127.0,49432.0,49282.0,2019-06-24,2019-09-23,2019-09-13,3.765673802087301,-10,91,2019,1,19,Brooklyn,4.118165485243124,0,0,0,0,0
13,K009,PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM UPGRADE,Design,Complete,2/26/2019,7/26/2019,8/19/2019,21000,36276,35019,DSF0000867254,21000.0,36276.0,35019.0,2019-02-26,2019-07-26,2019-08-19,1.7274285714285715,24,150,2019,1,13,Brooklyn,4.3222192947339195,0,0,0,0,0
15,K010,P.S. 10 - BROOKLYN,SCA CIP,WINDOWS / FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,6/2/2020,11/30/2020,10/8/2020,186915,224226,180337,"DSF0000936536, DSF0000936532, DSF0000936534, DSF0000936535, DSF0000936537",186915.0,224226.0,180337.0,2020-06-02,2020-11-30,2020-10-08,1.1996147981702914,-53,181,2020,1,15,Brooklyn,5.271644155075083,0,0,1,0,0
13,K011,P.S. 11 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,1/30/2019,7/1/2019,5/13/2019,462221,352691,284681,"DSF0000868551, DSF0000868553, DSF0000868554, DSF0000868555",462221.0,352691.0,284681.0,2019-01-30,2019-07-01,2019-05-13,0.7630354311033034,-49,152,2019,0,13,Brooklyn,5.6648496728110675,0,0,1,0,0
